Community Area,Type of Service Request,Percentage of Total
53,Tree Debris,0.13599709700830578
53,Rodent Baiting/Rat Complaint,0.03439238771066849
53,Tree Trim,0.21058785581807918
23,Pothole in Street,0.17162354584777412
23,Garbage Cart Black Maintenance/Replacement,0.1941377179549179
23,Graffiti Removal,0.24220198275167246
23,Abandoned Vehicle Complaint,0.05813922248193224
23,Street Light Out,0.10142124069745574
23,Tree Debris,0.03379812471454287
23,Rodent Baiting/Rat Complaint,0.10413476263399694
23,Tree Trim,0.09454340291770774
24,Pothole in Street,0.14545915846542123
24,Garbage Cart Black Maintenance/Replacement,0.06261433893733225
24,Graffiti Removal,0.5322285576935917
24,Abandoned Vehicle Complaint,0.047511584120074245
24,Street Light Out,0.050703059275975806
24,Tree Debris,0.012418710857692257
24,Rodent Baiting/Rat Complaint,0.08476771669315102
24,Tree Trim,0.06429687395676152
25,Pothole in Street,0.2224342833314622
25,Garbage Cart Black Maintenance/Replacement,0.21444724222546552
25,Graffiti Removal,0.06991066703019999
25,Abandoned Vehicle Complaint,0.05416112011034306
25,Street Light Out,0.12832191945598306
25,Tree Debris,0.09029526390915944
25,Rodent Baiting/Rat Complaint,0.09316610800147551
25,Tree Trim,0.1272633959359112
26,Pothole in Street,0.18258240542732837
26,Garbage Cart Black Maintenance/Replacement,0.2572819113634688
26,Graffiti Removal,0.07447828331244008
26,Abandoned Vehicle Complaint,0.04859523633950299
26,Street Light Out,0.1403288843005678
26,Tree Debris,0.07595310080377553
26,Rodent Baiting/Rat Complaint,0.11798539930683578
26,Tree Trim,0.10279477914608068
27,Pothole in Street,0.19959785522788204
27,Garbage Cart Black Maintenance/Replacement,0.20904825737265414
27,Graffiti Removal,0.11018766756032172
27,Abandoned Vehicle Complaint,0.06474530831099196
27,Street Light Out,0.1423592493297587
27,Tree Debris,0.05650134048257373
27,Rodent Baiting/Rat Complaint,0.14028150134048256
27,Tree Trim,0.07727882037533512
20,Pothole in Street,0.136133278965457
20,Garbage Cart Black Maintenance/Replacement,0.0805615424943205
20,Graffiti Removal,0.5186112891011825
20,Abandoned Vehicle Complaint,0.05190190481738219
20,Street Light Out,0.048406827051901906
20,Tree Debris,0.018116153084406127
20,Rodent Baiting/Rat Complaint,0.06011533756626085
20,Tree Trim,0.08615366691908895
21,Pothole in Street,0.12065504748849505
21,Garbage Cart Black Maintenance/Replacement,0.06024184862430236
21,Graffiti Removal,0.5628855380397533
21,Abandoned Vehicle Complaint,0.05071967100753941
21,Street Light Out,0.041173014785077844
21,Tree Debris,0.01157838049544698
21,Rodent Baiting/Rat Complaint,0.10136590619798297
21,Tree Trim,0.05138059336140213
22,Pothole in Street,0.15017400922653573
22,Garbage Cart Black Maintenance/Replacement,0.05637089594518035
22,Graffiti Removal,0.517198586343648
22,Abandoned Vehicle Complaint,0.04509401893867861
22,Street Light Out,0.04355626298324655
22,Tree Debris,0.01700973912105107
22,Rodent Baiting/Rat Complaint,0.11205384843661478
22,Tree Trim,0.058542639005044916
49,Pothole in Street,0.18274125796311236
49,Garbage Cart Black Maintenance/Replacement,0.19053050324088242
49,Graffiti Removal,0.02793000806743261
49,Abandoned Vehicle Complaint,0.046429465602136476
49,Street Light Out,0.18210142710100982
49,Tree Debris,0.1406793334631541
49,Rodent Baiting/Rat Complaint,0.04670765293348541
49,Tree Trim,0.18288035162878682
46,Pothole in Street,0.16592071611253198
46,Garbage Cart Black Maintenance/Replacement,0.14701315308732188
46,Graffiti Removal,0.16281512605042017
46,Abandoned Vehicle Complaint,0.04594446474241871
46,Street Light Out,0.16477895506028498
46,Tree Debris,0.09106686152721959
46,Rodent Baiting/Rat Complaint,0.03347643405188162
46,Tree Trim,0.18898428936792108
47,Pothole in Street,0.23828647925033467
47,Garbage Cart Black Maintenance/Replacement,0.1923248549754574
47,Graffiti Removal,0.022311468094600623
47,Abandoned Vehicle Complaint,0.041499330655957165
47,Street Light Out,0.16644355198572067
47,Tree Debris,0.08879964301651048
47,Rodent Baiting/Rat Complaint,0.053993752788933515
47,Tree Trim,0.1963409192324855
44,Pothole in Street,0.22498581426139588
44,Garbage Cart Black Maintenance/Replacement,0.18086816720257234
44,Graffiti Removal,0.02279175335729147
44,Abandoned Vehicle Complaint,0.07168526574616985
44,Street Light Out,0.20484206544354075
44,Tree Debris,0.09693588046150936
44,Rodent Baiting/Rat Complaint,0.04038206922640439
44,Tree Trim,0.15750898430111596
45,Pothole in Street,0.24417470467107402
45,Garbage Cart Black Maintenance/Replacement,0.19432101441421915
45,Graffiti Removal,0.023951446840793325
45,Abandoned Vehicle Complaint,0.04389292294353528
45,Street Light Out,0.17167009862360463
45,Tree Debris,0.13373794299338898
45,Rodent Baiting/Rat Complaint,0.033163541779559984
45,Tree Trim,0.15508832773382464
42,Pothole in Street,0.25166970248937465
42,Garbage Cart Black Maintenance/Replacement,0.13833232139243068
42,Graffiti Removal,0.05849018417324428
42,Abandoned Vehicle Complaint,0.08844363489172233
42,Street Light Out,0.17233353572151386
42,Tree Debris,0.07245496862983201
42,Rodent Baiting/Rat Complaint,0.07235377453956689
42,Tree Trim,0.14592187816231533
43,Pothole in Street,0.27501539724902485
43,Garbage Cart Black Maintenance/Replacement,0.14313282693492096
43,Graffiti Removal,0.05469102853623486
43,Abandoned Vehicle Complaint,0.06245124204475467
43,Street Light Out,0.1786902073496202
43,Tree Debris,0.08335044138780538
43,Rodent Baiting/Rat Complaint,0.05752412235680558
43,Tree Trim,0.1451447341408335
40,Pothole in Street,0.374632425014703
40,Garbage Cart Black Maintenance/Replacement,0.08155263673789453
40,Graffiti Removal,0.07312291707508331
40,Abandoned Vehicle Complaint,0.04920603803175848
40,Street Light Out,0.17016271319349147
40,Tree Debris,0.05704763771809449
40,Rodent Baiting/Rat Complaint,0.0707704371691825
40,Tree Trim,0.1235051950597922
41,Pothole in Street,0.30827519846042817
41,Garbage Cart Black Maintenance/Replacement,0.06976184748616791
41,Graffiti Removal,0.1139042578782776
41,Abandoned Vehicle Complaint,0.05881645417368295
41,Street Light Out,0.1297810921337503
41,Tree Debris,0.03199422660572528
41,Rodent Baiting/Rat Complaint,0.09333654077459706
41,Tree Trim,0.1941303824873707
1,Pothole in Street,0.29370194921177295
1,Garbage Cart Black Maintenance/Replacement,0.039527840335481866
1,Graffiti Removal,0.3489166731381533
1,Abandoned Vehicle Complaint,0.07113458103595557
1,Street Light Out,0.04686650617379824
1,Tree Debris,0.03180088529937097
1,Rodent Baiting/Rat Complaint,0.08639434650928011
1,Tree Trim,0.081657218296187
3,Pothole in Street,0.1910845047837939
3,Garbage Cart Black Maintenance/Replacement,0.030840771821048694
3,Graffiti Removal,0.4154150408894115
3,Abandoned Vehicle Complaint,0.06387300229835907
3,Street Light Out,0.06424715377625742
3,Tree Debris,0.021861136351488588
3,Rodent Baiting/Rat Complaint,0.1029451066331712
3,Tree Trim,0.10973328344646961
2,Pothole in Street,0.2168141592920354
2,Garbage Cart Black Maintenance/Replacement,0.08676883229009281
2,Graffiti Removal,0.252212389380531
